城市,方式,楼盘名称,户型,城市地区,区内地段,面积,朝向,标签,价格,楼层类型,楼层数,封面图,品牌,详情链接
东莞,整租,万科首铸东江之星,1室1厅1卫,南城区,宏远北,32.24㎡,南,精装 随时看房,1500元/月,高楼层,39层,"https://image1.ljcdn.com/110000-inspection/pc1_gg7QS9LmD.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2067875821598539776.html
东莞,整租,盈锋广场,1室1厅1卫,莞城区,东平街,54.00㎡,东,近地铁 精装 随时看房,1000元/月,中楼层,13层,"https://image1.ljcdn.com/110000-inspection/pc1_RnyvCNjpI.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2067867254602596352.html
东莞,整租,七枝树三巷,2室1厅1卫,东城区,花园新村,80.00㎡,东,精装 随时看房,800元/月,高楼层,4层,"https://image1.ljcdn.com/110000-inspection/pc1_fuWkz0V2g.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2067441523078725632.html
东莞,独栋,诗莱德酒店公寓 诗莱德行政公寓 两室一厅  可短租 拎包入住  配套齐全,2室1厅1卫,,,99.00㎡,,独栋公寓 月租 拎包入住 精装 有阳台 开放厨房,6500元/月,,层,https://image1.ljcdn.com/wanjia/24ce84e911dbe82a5bee1f4dedf95ee2-1685763412894/8bf91a1ea984c3dc928b1ce9d67141eb.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/62822.html
东莞,整租,盛世华南,3室2厅2卫,万江区,华南摩尔,118.00㎡,南,精装 双卫生间,2400元/月,高楼层,18层,"https://image1.ljcdn.com/110000-inspection/pc1_Hdz9w44x2.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2067911594725081088.html
东莞,整租,南部湾万科城,1室0厅0卫,虎门镇,大宁,12.00㎡,南,精装 随时看房,350元/月,,层,"https://image1.ljcdn.com/110000-inspection/e25c8ec9-6731-4943-a35f-002a48bdf24b.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",链家,https://dg.lianjia.com/zufang/DG2068309038394769408.html
东莞,独栋,莞寓 莞寓市人才安居社区 国贸旁！大loft 6房3厅4卫 空中别墅！随时看房！,6室3厅4卫,,,308.00㎡,,独栋公寓 精装 有阳台,5500元/月,,层,https://image1.ljcdn.com/wanjia/2a7071edbac6aa82d48939a96a532a4c-1749537187117/21955885458adc8665a0bb91afc20e2a.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/19910.html
东莞,独栋,源悦里青年公寓酒店 国贸 东城市场 进世博 万达押一付一 开间,1室0厅1卫,,,20.00㎡,,独栋公寓 月租 近地铁 精装 有阳台 开放厨房 押一付一,1690元/月,,层,https://image1.ljcdn.com/wanjia/0bca72567bc162aac9f0e6f89865f393-1757317782098/f82d283e66f49ee6186ead37c27029f3.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/94071.html
东莞,独栋,源悦里青年公寓酒店 国贸 国贸地铁口 押一付一 民水民电 开间,1室0厅1卫,,,25.00㎡,,独栋公寓 月租 拎包入住 近地铁 精装 开放厨房 押一付一,1690元/月,,层,https://image1.ljcdn.com/wanjia/0bca72567bc162aac9f0e6f89865f393-1757425171600/0a2cb78ade14c8a51b2f3f5d293d2b75.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/94071.html
东莞,整租,卓越中寰,2室1厅1卫,莞城区,学院路,35.00㎡,东,近地铁 精装 随时看房,1900元/月,低楼层,22层,"https://image1.ljcdn.com/110000-inspection/pc1_jdEILSnTa.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2068328270994079744.html
东莞,合租,聚龙彩虹湾 5居室 东/西卧,5室0厅3卫,石龙镇,石龙镇,30.00㎡,东,随时看房,650元/月,低楼层,2层,"https://image1.ljcdn.com/110000-inspection/pc1_87TlEUWb3.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2068325207818371072.html
东莞,整租,格兰名筑,1室1厅1卫,东城区,主山,41.30㎡,东,近地铁 精装 随时看房,1600元/月,低楼层,10层,"https://image1.ljcdn.com/110000-inspection/pc1_Li9EAdcq7.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2068566183648428032.html
东莞,整租,万达御湖公馆,1室1厅1卫,厚街镇,厚街镇,52.00㎡,东南,近地铁 精装,1800元/月,低楼层,27层,"https://image1.ljcdn.com/110000-inspection/pc1_EJ2mHFonD.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2068608286373969920.html
东莞,整租,保利领秀山,4室2厅3卫,樟木头镇,樟木头镇,163.00㎡,南,精装 随时看房,3600元/月,高楼层,26层,"https://image1.ljcdn.com/110000-inspection/af09ff94de00f5e30c7f78fca4762401-002.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2068559147279843328.html
东莞,整租,中堂东港城,3室2厅2卫,中堂镇,中堂镇,91.00㎡,东,精装 双卫生间,2000元/月,中楼层,17层,"https://image1.ljcdn.com/110000-inspection/96f1e96e-56de-4e62-9bb1-f9455a84f85e.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2068669896681586688.html
东莞,独栋,松寓 专家公寓 松寓55平单间，双层玻璃隔音好，可做饭/室内晾晒衣物电视可投屏丨华为/教师享9折，可叠加老带新福利 开间,1室0厅1卫,,,55.00㎡,,新上 独栋公寓 精装 有阳台 开放厨房,2445元/月,,层,https://image1.ljcdn.com/wanjia/21ba52fb7ab4747611664cf73a18726f-1769744785058/dedc1ef706e30bdfbf0b9c94686c9323.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/46890.html
东莞,整租,长虹百荟,3室2厅2卫,樟木头镇,樟木头镇,95.00㎡,南,精装 双卫生间 随时看房,1800元/月,低楼层,19层,"https://image1.ljcdn.com/110000-inspection/pc1_fV5qEaqtw.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2068657189559468032.html
东莞,整租,寰宇汇金中心,2室1厅1卫,南城区,南城车站,53.00㎡,南,近地铁 精装,2800元/月,中楼层,26层,"https://image1.ljcdn.com/110000-inspection/pc1_eOXoNdfB0.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2068656482655666176.html
东莞,独栋,源悦里青年公寓酒店 国贸 第一国际温馨小筑民用水电押一付一还送网络,1室1厅1卫,,,20.00㎡,,独栋公寓 月租 拎包入住 近地铁 精装 开放厨房 押一付一,1690元/月,,层,https://image1.ljcdn.com/wanjia/0bca72567bc162aac9f0e6f89865f393-1755830409024/fe9697d06122e69cf672c02c3af6d595.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/94071.html
东莞,独栋,湾寓,1室1厅1卫,,,60.00㎡,,独栋公寓 精装 有阳台 开放厨房,2600元/月,,层,https://image1.ljcdn.com/wanjia/1351fc640f3d91ac18f56024fada5d64-1742965108782/cd697888c9f2ac1547cc25849e5a6184.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/59762.html
东莞,整租,紫薇银座,3室2厅2卫,沙田镇,沙田镇,95.00㎡,南,新上 精装 双卫生间 随时看房,2200元/月,高楼层,24层,"https://image1.ljcdn.com/110000-inspection/5c79b3ee574ac4a3eb22a1b66304b39b-058.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2129256660357611520.html
东莞,独栋,心寓园青年公寓 海棠店 电费6毛8 海棠店308房  电梯有网络 石碣镇政府旁  临嘉荣购物广场 开间,1室0厅1卫,,,18.00㎡,,独栋公寓 月租 精装 押一付一,850元/月,,层,https://image1.ljcdn.com/wanjia/b4640071e27508d539413e2f22d4bc48-1759502822236/4efdd2f969559e8b1c92e99f32ded48e.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/85439.html
东莞,整租,双御思朗广场,3室2厅2卫,南城区,西平,60.00㎡,南,新上 近地铁 精装 双卫生间,2700元/月,低楼层,16层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129252384696696832.html
东莞,整租,万科中天金域世家,2室2厅1卫,厚街镇,厚街镇,80.00㎡,南,新上 精装,2700元/月,低楼层,10层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129211389506486272.html
东莞,整租,葡萄庄园,3室2厅2卫,万江区,华南摩尔,89.00㎡,南,新上 精装 双卫生间,2000元/月,中楼层,32层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129210811732721664.html
东莞,整租,东实旗云花园,3室2厅2卫,石龙镇,石龙镇,98.00㎡,东,新上 近地铁 精装 双卫生间,2500元/月,低楼层,30层,"https://image1.ljcdn.com/110000-inspection/pc1_9NLLFyKs7.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2129211917305118720.html
东莞,整租,保利中央公馆,3室2厅2卫,清溪镇,清溪镇,96.00㎡,南,新上 精装 双卫生间,2600元/月,高楼层,25层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129220506455375872.html
东莞,整租,星光城,1室1厅1卫,黄江镇,黄江镇,40.00㎡,东南,新上 精装,1200元/月,中楼层,23层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129184555700060160.html
东莞,整租,时代香海彼岸4期,3室2厅2卫,道滘镇,道滘镇,82.00㎡,南,新上 精装 双卫生间,2000元/月,高楼层,20层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129190598328975360.html
东莞,独栋,心寓园青年公寓 崇焕西店 电费6毛8 一房一厅 电梯阳台房 有网络 石碣镇俄村东聚步行街8号,1室1厅1卫,,,30.00㎡,,独栋公寓 月租 精装 有阳台 押一付一,980元/月,,层,https://image1.ljcdn.com/wanjia/b4640071e27508d539413e2f22d4bc48-1733459724518/4efdd2f969559e8b1c92e99f32ded48e.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/85385.html
东莞,整租,中惠沁林山庄,3室2厅1卫,大岭山镇,大岭山镇,88.00㎡,南,新上 精装,2300元/月,低楼层,25层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129194077520920576.html
东莞,整租,松湖碧桂园三期,3室2厅2卫,大岭山镇,大岭山镇,99.00㎡,东南,新上 精装 双卫生间,2800元/月,中楼层,33层,"https://image1.ljcdn.com/110000-inspection/pc1_8aAjL23Aq.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2129191449873350656.html
东莞,整租,万科中心,1室0厅1卫,莞城区,黄旗山,31.60㎡,西北,新上 近地铁 精装 随时看房,1100元/月,高楼层,12层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129203265122861056.html
东莞,整租,阳光城MODO,2室1厅1卫,南城区,南城车站,45.00㎡,南,新上 精装,2000元/月,低楼层,21层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129202709260140544.html
东莞,整租,天鹅湖花园,2室1厅1卫,常平镇,常平镇,72.00㎡,东南,新上,800元/月,高楼层,7层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129157902198374400.html
东莞,独栋,莞寓 花园新村店 近鸿福路运河边大三房  高楼层光线好 押一付一 符合条件可领补贴,3室1厅1卫,,,121.61㎡,,独栋公寓 拎包入住 精装 有阳台,1550-1640元/月,,层,https://image1.ljcdn.com/wanjia/2a7071edbac6aa82d48939a96a532a4c-1747811657525/f28fb83e6da367c271f445d9bf9a8369.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/15139.html
东莞,独栋,心寓园青年公寓 汇丰店 电费9毛 汇丰店228房 有网络 家电齐全 临近单屋 江龙大桥 黄泗围 开间,1室0厅1卫,,,15.00㎡,,独栋公寓 月租 精装 押一付一,650元/月,,层,https://image1.ljcdn.com/wanjia/b4640071e27508d539413e2f22d4bc48-1759668455685/42252744c750a3c91423f9bf85922af7.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/85426.html
东莞,整租,海伦湾,3室2厅2卫,石龙镇,石龙镇,100.00㎡,南,新上 精装 双卫生间,2200元/月,低楼层,32层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129158494471847936.html
东莞,独栋,心寓园青年公寓 崇焕西店 崇焕西店702房 电梯有网络 刘屋俄村东聚厂迪芬尼 起航广场 开间,1室0厅1卫,,,15.00㎡,,新上 独栋公寓 月租 精装 押一付一,780元/月,,层,https://image1.ljcdn.com/wanjia/b4640071e27508d539413e2f22d4bc48-1760617687376/9f4a5e029a59387c9dbe3367856741e1.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/85385.html
东莞,整租,万科首铸东江之星,1室1厅1卫,南城区,宏远北,32.00㎡,南,新上 精装,1200元/月,高楼层,46层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129159555244883968.html
东莞,独栋,心寓园青年公寓 崇焕西店 崇焕西店312房 两房一厅 阳台 电梯有网络 刘屋俄村东聚厂,2室1厅1卫,,,35.00㎡,,新上 独栋公寓 月租 精装 有阳台 押一付一,1180元/月,,层,https://image1.ljcdn.com/wanjia/b4640071e27508d539413e2f22d4bc48-1760618823379/5647dfa9e637133d93f287ea44fa1790.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/85385.html
东莞,独栋,有巢公寓 松山湖店 商场上盖 朝阳 免管理费 房东直租 押一 楼下大湾区城轨C 开间,1室0厅1卫,,,34.00㎡,,独栋公寓 月租 精装 开放厨房,1422元/月,,层,https://image1.ljcdn.com/wanjia/08c9c51d210e212cd65c3e8f121c5f58-1767411895063/a0cfc56351baa319a3364cfdba88333c.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/101713.html
东莞,整租,三正卧龙山,5室2厅2卫,凤岗镇,凤岗镇,146.00㎡,东南,新上 精装 双卫生间,4000元/月,中楼层,10层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129159114469670912.html
东莞,独栋,莞寓 莞寓市人才安居社区 国贸汇一必看好房 方正一房一厅 民用水电 小区绿化好 可领伍佰,1室1厅1卫,,,53.00㎡,,独栋公寓 精装 开放厨房 押一付一,1600元/月,,层,https://image1.ljcdn.com/wanjia/2a7071edbac6aa82d48939a96a532a4c-1747914460978/88f22e9f48da9aaf717ebf2f0cf62c63.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/19910.html
东莞,整租,三正,4室2厅2卫,凤岗镇,凤岗镇,126.00㎡,南,新上 精装 双卫生间,5500元/月,低楼层,32层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129163548650110976.html
东莞,整租,伟隆国际,1室1厅1卫,茶山镇,茶山镇,33.00㎡,南,新上 精装,1350元/月,低楼层,18层,"https://image1.ljcdn.com/110000-inspection/pc1_J6uXmSpdj.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2129149795099475968.html
东莞,整租,莲湖新村,3室1厅2卫,塘厦镇,塘厦镇,108.00㎡,东南,新上 双卫生间 随时看房,1600元/月,高楼层,9层,"https://image1.ljcdn.com/110000-inspection/pc1_zpg8wPKau.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2129154177429929984.html
东莞,整租,华堂九里,1室1厅1卫,塘厦镇,塘厦镇,35.00㎡,东,新上 精装,1900元/月,高楼层,21层,"https://image1.ljcdn.com/110000-inspection/295e00ed-da9b-4e2d-b27a-2f767eb074d2.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2129155654902874112.html
东莞,独栋,百花庭安居社区 东城店 清风阳光大窗房 可短租 独栋电梯公寓 智能密码锁 年签免管理费 免费健身 空中花园 地下停车场 开间,1室0厅1卫,,,35.00㎡,,新上 独栋公寓 精装 押一付一,899元/月,,层,https://image1.ljcdn.com/wanjia/19171df474c82938afe7bec40cdfeca9-1764068895238/cb65494a4dacbd39cd6374906a68aa46.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/94390.html
东莞,整租,保利心语花园,3室2厅1卫,寮步镇,寮步,80.00㎡,北,新上 精装,2500元/月,高楼层,27层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2129129271090741248.html
东莞,独栋,源悦里青年公寓酒店 国贸店 东莞东城国贸租房丨民水民电 企业折扣 拎包入住 开间,1室0厅1卫,,,20.00㎡,,新上 独栋公寓 月租 近地铁 精装 开放厨房 押一付一,1690元/月,,层,https://image1.ljcdn.com/wanjia/0bca72567bc162aac9f0e6f89865f393-1741352791913/61278822ef62d67bda173d22d7a8aa67.png.250x182.jpg,,https://dg.lianjia.com/apartment/86374.html
东莞,整租,保利欢乐大都汇,1室1厅1卫,南城区,南城车站,26.00㎡,南,精装,1200元/月,低楼层,32层,"https://image1.ljcdn.com/110000-inspection/pc1_HbtbxeomJ.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2106051955313868800.html
东莞,整租,曼克顿酒店公寓,2室1厅1卫,常平镇,常平镇,50.00㎡,东南,精装,1580元/月,中楼层,23层,"https://image1.ljcdn.com/110000-inspection/4fc74cacd7661183c120527b6afb2770-039.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2106048452654792704.html
东莞,整租,新城玺樾门第,3室2厅2卫,樟木头镇,樟木头镇,103.00㎡,南,精装 双卫生间,2500元/月,高楼层,28层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://dg.lianjia.com/zufang/DG2105998892213469184.html
东莞,整租,鼎峰卡布斯,1室0厅1卫,东城区,东泰,47.00㎡,东,近地铁 随时看房,1300元/月,高楼层,18层,"https://image1.ljcdn.com/110000-inspection/pc1_BgRvciLgA.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2105983578637598720.html
东莞,整租,光大景湖春晓,1室1厅1卫,南城区,西平,34.00㎡,南,精装 随时看房,1400元/月,低楼层,11层,"https://image1.ljcdn.com/110000-inspection/pc1_YZbsGxGE7.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2105989921847115776.html
东莞,独栋,源悦里青年公寓酒店 东莞国贸店 寰宇UCC丨地铁旁 超大公区 免费观影健身 押一付一 开间,1室0厅1卫,,,27.00㎡,,新上 独栋公寓 月租 拎包入住 近地铁 精装 开放厨房 押一付一,1999元/月,,层,https://image1.ljcdn.com/wanjia/0bca72567bc162aac9f0e6f89865f393-1751513559498/8ca1a53be80380b21db65281ebd2ec87.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/83535.html
东莞,独栋,源悦里青年公寓酒店 东莞国贸店 东莞二中 学者专享  配备自习室 健身房,1室1厅1卫,,,30.00㎡,,新上 独栋公寓 月租 拎包入住 近地铁 精装 开放厨房 押一付一,2999元/月,,层,https://image1.ljcdn.com/wanjia/0bca72567bc162aac9f0e6f89865f393-1757676509093/55d542e86a6eaa66f3241ac777ec4fb0.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/83535.html
东莞,整租,东骏豪苑,3室2厅2卫,南城区,西平,112.00㎡,南,精装 双卫生间,3600元/月,中楼层,16层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,链家,https://dg.lianjia.com/zufang/DG2106030842240303104.html
东莞,整租,嘉信广场,2室1厅1卫,清溪镇,清溪镇,69.24㎡,南,精装 随时看房,1300元/月,中楼层,16层,"https://image1.ljcdn.com/110000-inspection/pc1_8tNatAX2o.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2102293471816581120.html
东莞,整租,海德琥珀台,4室2厅2卫,东城区,火炼树,126.00㎡,东,精装 双卫生间 随时看房,5000元/月,中楼层,34层,"https://image1.ljcdn.com/110000-inspection/pc1_MJzv2R3KW.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2102316675360620544.html
东莞,独栋,源悦里青年公寓酒店 东莞国贸店 国贸旗峰山脚下温馨一室一厅精装ins风,1室1厅1卫,,,45.00㎡,,新上 独栋公寓 月租 拎包入住 近地铁 精装 开放厨房 押一付一,2999元/月,,层,https://image1.ljcdn.com/wanjia/0bca72567bc162aac9f0e6f89865f393-1757315638518/3517f53e9c91bb8c37ace3e89ff187b5.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/83535.html
东莞,独栋,源社里青年服务公寓 华南摩尔店 曲海地铁站旁阳光单间，民用水电 开间,1室0厅1卫,,,25.00㎡,,独栋公寓 月租 拎包入住 精装 有阳台 开放厨房 押一付一,1050元/月,,层,https://image1.ljcdn.com/wanjia/b1b0c124db0f5debaf80e80eb33c6386-1758105992296/672f083df91f52cb78c8be8cf5c5fda2.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/57352.html
东莞,独栋,源悦里青年公寓酒店 东莞国贸店 品牌公寓直租丨民用水电 押一付一 超绝采光 开间,1室0厅1卫,,,20.00㎡,,新上 独栋公寓 月租 拎包入住 近地铁 精装 开放厨房 押一付一,1690元/月,,层,https://image1.ljcdn.com/wanjia/0bca72567bc162aac9f0e6f89865f393-1757899784914/f139fde77f4e1622f10270f5994d433d.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/83535.html
东莞,独栋,源悦里青年公寓酒店 国贸店 民盈国贸 宠物友好型公寓 超绝采光 配套超大公区 开间,1室0厅1卫,,,25.00㎡,,新上 独栋公寓 月租 拎包入住 近地铁 精装 开放厨房 押一付一,2999元/月,,层,https://image1.ljcdn.com/wanjia/0bca72567bc162aac9f0e6f89865f393-1755768381930/dbe27a1e6f96ee75584a9a26091a2e0f.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/86374.html
东莞,整租,腾龙领寓,1室0厅1卫,石龙镇,石龙镇,48.24㎡,南,精装,1300元/月,低楼层,18层,"https://image1.ljcdn.com/110000-inspection/pc1_2NQxVTaWM.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2102318204570304512.html
东莞,独栋,诗莱德酒店公寓 诗莱德行政公寓 干净舒适 阳光一居室 开间,1室0厅1卫,,,40.00㎡,,独栋公寓 月租 拎包入住 精装 开放厨房,3500元/月,,层,https://image1.ljcdn.com/wanjia/24ce84e911dbe82a5bee1f4dedf95ee2-1685933008610/401764248c8a1f69c4e82db9ff058ff0.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/62822.html
